phase,number of devices,number of links,simulation startup duration config real (Seconds),simulation startup duration routing real (Seconds),simulation startup duration real (Seconds),simulation shutdown duration real (Seconds),simulation duration real (Seconds),simulation total duration real (Seconds),simulation startup duration routing virtual (Seconds),simulation duration virtual (Seconds),number of forwarded packages,number of sent packages,network traffic forwarded(Bytes),network traffic total (Bytes),package size aggregated (Bytes),number of devices having 'RoutingFeature',number of devices having 'DatabaseStore',number of devices having 'DatabaseQuery',number of devices having 'Database',number of devices having 'Sensor',package count for 'Database-Ontology-Import',package size for 'Database-Ontology-Import',package size aggregated for 'Database-Ontology-Import',package size self Messages for 'Database-Ontology-Import',package count for 'Database-Graph-Create',package size for 'Database-Graph-Create',package size aggregated for 'Database-Graph-Create',package size self Messages for 'Database-Graph-Create',package count for 'Database-Ontology-Load',package size for 'Database-Ontology-Load',package size aggregated for 'Database-Ontology-Load',package size self Messages for 'Database-Ontology-Load',package count for 'ParkingSample',package size for 'ParkingSample',package size aggregated for 'ParkingSample',package size self Messages for 'ParkingSample',package count for 'SPARQL-Query',package size for 'SPARQL-Query',package size aggregated for 'SPARQL-Query',package size self Messages for 'SPARQL-Query',package count for 'SPARQL-Response',package size for 'SPARQL-Response',package size aggregated for 'SPARQL-Response',package size self Messages for 'SPARQL-Response',package count for 'Database-Graph-Modify',package size for 'Database-Graph-Modify',package size aggregated for 'Database-Graph-Modify',package size self Messages for 'Database-Graph-Modify',package count for 'Database-Dictionary',package size for 'Database-Dictionary',package size aggregated for 'Database-Dictionary',package size self Messages for 'Database-Dictionary',package count for 'Database-Operatorgraph',package size for 'Database-Operatorgraph',package size aggregated for 'Database-Operatorgraph',package size self Messages for 'Database-Operatorgraph',package count for 'Database-Intermadiate-Result',package size for 'Database-Intermadiate-Result',package size aggregated for 'Database-Intermadiate-Result',package size self Messages for 'Database-Intermadiate-Result',data scale,additionalHops,partitioning,distribution algorithm,dynamic operator relocation
Q8,198,2802,6.548e-06,2.077e-06,1.8399999999999997e-06,1.9050000012099154e-06,6.862884778999999,6.862897149,0,0.015888648,10,30,93595,156429,193254,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,787,787,787,1,273,273,273,0,0,0,0,2,92,92,92,12,2337,2337,0,16,96266,189765,35945,5,hops,key,topology,relocateOperatorsIfTooMuchDataIsSentDisabled
Q9,198,2802,6.433e-06,2.017e-06,1.718e-06,2.0689999999426334e-06,1.7549339880000001,1.754946225,0,0.019768328,5,25,68031,169418,238526,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1081,1081,1081,1,393,393,393,0,0,0,0,2,92,92,92,12,2902,2902,0,16,166091,234058,67790,5,hops,key,topology,relocateOperatorsIfTooMuchDataIsSentDisabled
Q10,198,2802,6.53e-06,2.021e-06,1.7220000000000002e-06,3.196000000011353e-06,0.114650412,0.11466388100000001,0,0.035432328,6,29,118903,278527,443440,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1383,1383,1383,1,427,427,427,0,0,0,0,2,92,92,92,14,4217,4217,0,26,318514,437321,163339,5,hops,key,topology,relocateOperatorsIfTooMuchDataIsSentDisabled
initialization,198,2802,0.065242459,0.043641476,0.180392283,1.385599999993714e-05,8.020167422,8.309457496,0,1104.943413782,1622,17115,423063,9853984,10778701,198,16,48,48,150,1,2309,2309,2309,47,39104,83200,0,47,101191,215300,0,750,27000,32940,0,1051,865326,865326,865326,1050,261750,315040,228535,21378,8462631,8462631,0,2100,95910,208402,550,556,110385,110385,0,451,413272,483168,53173,5,hops,key,topology,relocateOperatorsIfTooMuchDataIsSentDisabled
Q1,198,2802,2.8241e-05,4.889e-06,4.26e-06,1.9544000000856728e-05,15.07728311,15.077340044000001,0,0.048915848,3,39,47655,484190,3154336,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,373,373,373,1,2657524,2657524,2657524,0,0,0,0,2,92,92,92,17,2272,2272,0,20,446444,494075,12469,5,hops,key,topology,relocateOperatorsIfTooMuchDataIsSentDisabled
Q2,198,2802,2.15e-05,5.577e-06,4.472e-06,1.0807000000346596e-05,3.0491648689999997,3.049207225,0,0.001773444,0,8,0,6708,12046,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,449,449,449,1,2222,2222,0,0,0,0,0,2,92,92,0,5,544,544,0,5,8739,8739,4969,5,hops,key,topology,relocateOperatorsIfTooMuchDataIsSentDisabled
Q3,198,2802,1.1427e-05,3.598e-06,3.1009999999999996e-06,1.784400000032106e-05,5.624364083,5.624400053,0,0.002605446,4,15,6464,11496,12526,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,525,525,525,1,274,274,274,0,0,0,0,2,92,92,92,8,1011,1011,0,4,4192,10624,259,5,hops,key,topology,relocateOperatorsIfTooMuchDataIsSentDisabled
Q4,198,2802,2.0066e-05,7.172e-06,5.653e-06,1.975300000078248e-05,9.642714101,9.642766745,0,0.011969288,3,18,24381,45629,46521,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,571,571,571,1,273,273,273,0,0,0,0,2,92,92,92,9,1228,1228,0,7,20000,44357,100,5,hops,key,topology,relocateOperatorsIfTooMuchDataIsSentDisabled
Q5,198,2802,1.5776e-05,4.815e-06,3.957e-06,2.146500000026608e-05,3.0152997569999997,3.01534577,0,0.011969288,3,18,36480,70235,83394,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,875,875,875,1,161,161,161,0,0,0,0,2,92,92,92,9,1636,1636,0,9,44182,80630,12191,5,hops,key,topology,relocateOperatorsIfTooMuchDataIsSentDisabled
Q6,198,2802,1.9061e-05,6.343e-06,4.967e-06,1.917999999999413e-05,0.088506202,0.088555753,0,0.029525768,5,24,77822,169122,206586,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,960,960,960,1,206,206,206,0,0,0,0,2,92,92,92,12,2404,2404,0,15,125174,202924,36462,5,hops,key,topology,relocateOperatorsIfTooMuchDataIsSentDisabled
